City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
176,Tashtagol,RU,52.77,87.89,12.52,95,87,1.36,overcast clouds
177,Biak,ID,-0.91,122.88,78.26,76,100,1.61,overcast clouds
178,Kantang,TH,7.41,99.52,76.51,88,89,4.99,moderate rain
179,Brigantine,US,39.41,-74.36,64.4,88,90,16.11,mist
180,Haverhill,US,42.78,-71.08,57.0,93,90,11.41,heavy intensity rain
181,Praya,CV,14.92,-23.51,75.2,60,75,11.41,broken clouds
182,Tazovskiy,RU,67.47,78.7,12.96,95,100,12.82,overcast clouds
183,Calamar,CO,10.25,-74.91,80.6,100,40,8.05,shower rain
184,Mizdah,LY,31.45,12.98,55.22,81,0,7.87,clear sky
185,Mollendo,PE,-17.02,-72.01,67.06,78,100,6.26,overcast clouds
186,Nema,RU,57.51,50.5,17.19,95,0,9.04,clear sky
187,Bahir Dar,ET,11.59,37.39,64.62,62,88,2.35,overcast clouds
188,High Level,CA,58.52,-117.14,24.8,92,90,3.36,overcast clouds
189,Ancud,CL,-41.87,-73.82,59.0,58,75,4.7,broken clouds
190,Bonavista,CA,48.65,-53.11,33.8,55,0,5.82,clear sky
191,Borba,BR,-4.39,-59.59,82.06,80,98,1.99,overcast clouds
192,Kloulklubed,PW,7.04,134.26,75.2,94,90,4.03,overcast clouds
193,Tammisaari,FI,59.97,23.43,35.01,88,100,1.01,light snow
194,Juneau,US,58.3,-134.42,35.6,82,75,5.82,light snow
195,Leningradskiy,RU,69.38,178.42,1.6,92,95,7.07,overcast clouds
196,Ust-Nera,RU,64.57,143.2,-23.73,77,69,5.28,broken clouds
197,Kodinsk,RU,58.69,99.18,9.01,93,100,5.3,overcast clouds
198,Mazamari,PE,-11.33,-74.53,95.88,28,28,2.89,scattered clouds
199,East London,ZA,-33.02,27.91,67.73,72,36,15.28,scattered clouds
200,Whitehorse,CA,60.72,-135.05,12.99,85,20,5.82,few clouds
201,Te Anau,NZ,-45.42,167.72,46.71,68,1,0.83,clear sky
202,Alenquer,BR,-1.94,-54.74,86.0,70,20,5.82,few clouds
203,Bam,IR,29.11,58.36,59.88,34,0,0.4,clear sky
204,Pisco,PE,-13.7,-76.22,68.0,82,40,10.29,scattered clouds
